job_title,company_name,time_posted,num_applicatns
RPA Developer,Motorola Solutions,1 week ago,33 applicants
RPA Specialist: Blue Prism,Cyclad,1 week ago,
Intelligent Automation Developer,Carlsberg Shared Services,1 month ago,
RPA Specialist: Blue Prism,Cyclad,1 week ago,
SAP Solution Architect,Infosys Consulting,9 months ago,32 applicants
RPA Specialist: Blue Prism,Cyclad,1 week ago,
AI Digital Automation Delivery Manager,GSK,1 day ago,
RPA Specialist: Blue Prism,Cyclad,1 week ago,
RPA Developer / Consultant,PwC,2 months ago,
Process Automation Specialist - Order Management (new SSC),Michael Page,3 weeks ago,
